date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:31:49	23312/23312	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:50%20GMT	http://www.inspirationalspark.com/privacy-policy.html	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/privacy-policy.html	(from http://www.inspirationalspark.com/)
11:31:50	729/729	---M--	200	added ('OK')	image/png	etag:W/%220%22	http://www.inspirationalspark.com/image-files/xleftimage.gif.pagespeed.ic.EvcRWe4l_o.png	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/image-files/xleftimage.gif.pagespeed.ic.EvcRWe4l_o.png	(from http://www.inspirationalspark.com/)
11:31:50	22098/22098	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:50%20GMT	http://www.inspirationalspark.com/about-us.html	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/about-us.html	(from http://www.inspirationalspark.com/)
11:31:50	39609/39609	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:51%20GMT	http://www.inspirationalspark.com/index.html	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/index-2.html	(from http://www.inspirationalspark.com/)
11:31:51	34509/34509	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:51%20GMT	http://www.inspirationalspark.com/inspirational-quotes-with-pictures.html	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/inspirational-quotes-with-pictures.html	(from http://www.inspirationalspark.com/)
11:31:51	31690/31690	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:51%20GMT	http://www.inspirationalspark.com/fan-favorite-inspirational-quotes-2011.html	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/fan-favorite-inspirational-quotes-2011.html	(from http://www.inspirationalspark.com/)
11:31:51	23965/23965	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:52%20GMT	http://www.inspirationalspark.com/resources.html	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/resources.html	(from http://www.inspirationalspark.com/)
11:31:51	35287/35287	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2017:31:52%20GMT	http://www.inspirationalspark.com/inspirational-posters.html	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/inspirational-posters.html	(from http://www.inspirationalspark.com/)
11:31:52	2834/2834	---M--	200	added ('OK')	image/png	etag:W/%220%22	http://www.inspirationalspark.com/image-files/xfacebook-icon.png.pagespeed.ic.zsr9MX_ILZ.png	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/image-files/xfacebook-icon.png.pagespeed.ic.zsr9MX_ILZ.png	(from http://www.inspirationalspark.com/)
11:31:52	3588/3588	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	http://www.inspirationalspark.com/image-files/xspark-blog-logo.jpg.pagespeed.ic.t3UQBeNpzw.jpg	C:/My%20Web%20Sites/NewSparkSite/www.inspirationalspark.com/image-files/xspark-blog-logo.jpg.pagespeed.ic.t3UQBeNpzw.jpg	(from http://www.inspirationalspark.com/)
